"V1"	"V2"	"sample.id"	"spawning.season"	"cluster"	"cluster.jake"
-0.0220608875198725	-0.000596625185164355	"Hastkar_314"	NA	"Spring-like"	1
-0.0249948723524419	-0.00245492314204427	"Hastkar_315"	NA	"Spring-like"	1
-0.0224884535994431	0.00298110285891323	"Hastkar_316"	NA	"Spring-like"	NA
-0.0220544656619361	0.00384431849347357	"Hastkar_317"	NA	"Spring-like"	1
0.0193015600645387	-0.0321483254662919	"Hastkar_318"	NA	"Intermediate"	NA
0.0195286984841155	-0.0237597696917031	"Hastkar_319"	NA	"Intermediate"	NA
0.0889965174305177	0.0706872692192934	"Hastkar_320"	NA	"Autumn-like"	2
0.0327340754129073	0.0496952980326577	"Hastkar_321"	NA	"Intermediate"	NA
-0.0178463175487701	-0.0163551253088406	"Hastkar_322"	NA	"Spring-like"	1
-0.0193249798283088	0.00519413122200347	"Hastkar_323"	NA	"Spring-like"	NA
-0.0163795858043799	0.00128603734490092	"Hastkar_324"	NA	"Spring-like"	1
0.0840262892328525	0.0986586816747032	"Hastkar_325"	NA	"Autumn-like"	2
-0.0212161027308641	0.00430083830895698	"Hastkar_326"	NA	"Spring-like"	1
-0.0166150248306565	-0.00113380337602998	"Hastkar_327"	NA	"Spring-like"	NA
-0.0213494953028716	0.00201490813854297	"Hastkar_328"	NA	"Spring-like"	1
0.0233589983642525	0.0113650314256962	"Hastkar_329"	NA	"Intermediate"	NA
-0.0243155911888847	-0.000403579969839486	"Hastkar_330"	NA	"Spring-like"	1
0.0844872245184221	-0.154773624776838	"Hastkar_331"	NA	"Autumn-like"	2
-0.0227761318854758	-0.00129775216457625	"Hastkar_332"	NA	"Spring-like"	1
-0.0139631883024628	-0.00834473710113811	"Hastkar_333"	NA	"Spring-like"	1
-0.0227754727545611	0.00225697195198573	"Hastkar_334"	NA	"Spring-like"	NA
0.0653693314191002	-0.140144580961482	"Hastkar_335"	NA	"Autumn-like"	2
-0.0145768432535718	0.02172429591689	"Hastkar_336"	NA	"Spring-like"	1
-0.00465877182724773	0.0133654495048611	"Hastkar_337"	NA	"Spring-like"	NA
-0.0226473141744275	0.00313488291526311	"Hastkar_338"	NA	"Spring-like"	NA
-0.013899838202789	0.0063108633595329	"Hastkar_339"	NA	"Spring-like"	NA
0.00972851203670508	-0.00698140682629515	"Hastkar_340"	NA	NA	NA
0.0319412908681487	0.0309569493926199	"Hastkar_341"	NA	"Intermediate"	1
-0.0120734123347256	0.00369541786168173	"Hastkar_342"	NA	"Spring-like"	1
-0.0233426076279945	-0.00658852822859105	"Hastkar_343"	NA	"Spring-like"	NA
-0.0232728209744093	-0.00156409774404676	"Hastkar_344"	NA	"Spring-like"	1
-0.0232560567641573	-0.000785743625201056	"Hastkar_345"	NA	"Spring-like"	1
0.022230027133416	-0.0895484062947026	"Hastkar_346"	NA	"Intermediate"	1
-0.0250860572478562	0.0019208915781244	"Hastkar_347"	NA	"Spring-like"	1
0.0359248284126638	0.0714418865420311	"Hastkar_348"	NA	"Intermediate"	1
-0.0225321355355586	-0.00791217753336839	"Hastkar_349"	NA	"Spring-like"	1
0.0459907344983668	0.00531303000577544	"Hastkar_350"	NA	NA	NA
0.0318291553718044	0.0155625189360586	"Hastkar_351"	NA	"Intermediate"	NA
0.0426301014788188	-0.0447652794222122	"Hastkar_352"	NA	"Intermediate"	1
-0.0226027216391635	0.000845941141487187	"Hastkar_353"	NA	"Spring-like"	NA
0.0639510894351036	0.0347237167158633	"Hastkar_354"	NA	"Autumn-like"	2
-0.0226034294489035	-0.00551846186093281	"Hastkar_355"	NA	"Spring-like"	1
-0.0228636110292264	-0.000900192818175513	"Hastkar_356"	NA	"Spring-like"	1
-0.0107444131393726	0.00413624258698698	"Hastkar_357"	NA	"Spring-like"	NA
0.0116860539657614	0.00562561931996599	"Hastkar_358"	NA	NA	1
0.0136735767612215	-0.0582960773028228	"Hastkar_359"	NA	NA	NA
0.0305963790911519	-0.0356848790662386	"Hastkar_360"	NA	"Intermediate"	1
-0.0224965374991851	-0.00930633555606811	"Hastkar_361"	NA	"Spring-like"	NA
0.0262295768492937	-0.0769612822178964	"Hastkar_362"	NA	"Intermediate"	NA
-0.0236124662921933	0.000919055505324215	"Hastkar_363"	NA	"Spring-like"	1
-0.0244629830081379	0.00430393637681861	"Hastkar_364"	NA	"Spring-like"	1
0.0171598721862288	0.0147039961966087	"Hastkar_365"	NA	"Intermediate"	1
-0.0146486235750072	0.00551539058237371	"Hastkar_366"	NA	"Spring-like"	1
-0.022951179395012	0.000449171456016198	"Hastkar_367"	NA	"Spring-like"	NA
-0.0169469143942756	0.0058630391916731	"Hastkar_368"	NA	"Spring-like"	1
-0.0155680893219206	-0.0204725819435085	"Hastkar_369"	NA	"Spring-like"	1
-0.023801336599974	0.00372439616794737	"Hastkar_370"	NA	"Spring-like"	1
-0.0248075922207345	0.00304293485291254	"Hastkar_371"	NA	"Spring-like"	1
0.0336908770392188	-0.109760701907228	"Hastkar_372"	NA	"Intermediate"	1
-0.0241470365599336	-0.00504199068525502	"Hastkar_373"	NA	"Spring-like"	NA
-0.0220554358683449	-0.00694126010565486	"Hastkar_374"	NA	"Spring-like"	NA
-0.0119240672401469	0.00616018251362188	"Hastkar_375"	NA	"Spring-like"	1
-0.00858768660109214	0.00229245822832617	"Hastkar_376"	NA	"Spring-like"	1
0.0397020268450252	-0.112859498563951	"Hastkar_377"	NA	"Intermediate"	1
-0.0247658689141597	-0.000669699536798458	"Hastkar_378"	NA	"Spring-like"	1
-0.0122468645776476	0.0083999695910892	"Hastkar_379"	NA	"Spring-like"	NA
0.0428902309378874	0.0544392729653652	"Hastkar_380"	NA	"Intermediate"	1
-0.00466794700507221	0.00972980843564759	"Hastkar_381"	NA	"Spring-like"	1
0.0300712243884341	0.0147686041068428	"Hastkar_382"	NA	"Intermediate"	NA
-0.0137004320716881	0.0040082881371369	"Hastkar_383"	NA	"Spring-like"	1
-0.0229339822068858	0.00171152471797506	"Hastkar_384"	NA	"Spring-like"	1
-0.022147860342846	-0.00385475697098694	"Hastkar_385"	NA	"Spring-like"	1
-0.0155523789080244	0.00902209862497309	"Hastkar_386"	NA	"Spring-like"	1
-0.0224196337215802	0.00086315260164373	"Hastkar_387"	NA	"Spring-like"	1
-0.0160828071660081	-0.00182377636766072	"Hastkar_388"	NA	"Spring-like"	1
-0.0220630294972871	0.00263439065443135	"Hastkar_389"	NA	"Spring-like"	1
-0.0197207378878666	-0.0144074537981349	"Hastkar_390"	NA	"Spring-like"	1
-0.0219584594703485	0.00231003444699124	"Hastkar_391"	NA	"Spring-like"	NA
0.0323975134022621	0.0109343202754972	"Hastkar_392"	NA	"Intermediate"	1
-0.0143025661313465	-0.00149818240812538	"Hastkar_393"	NA	"Spring-like"	NA
-0.0211798341353236	-0.000780505783266198	"Hastkar_394"	NA	"Spring-like"	1
-0.021487675306183	-0.00920572145686843	"Hastkar_395"	NA	"Spring-like"	1
-0.0147492957817144	0.00650705940550087	"Hastkar_396"	NA	"Spring-like"	1
