,body_length,body_weight,VS
349,21.1,72,55
35,20,52.9,55
350,20.9,62.6,55
351,21,66.2,55
352,19.2,51.7,55
353,19.6,53.4,56
354,19.7,55.4,55
355,21,71.7,NA
357,21.3,58.5,56
358,20.4,53.1,55
359,20.5,53.9,55
36,21.1,64.1,NA
360,19.6,54,56
361,19.8,49,55
363,21.1,61.9,55
364,20.3,60.1,NA
365,20.8,62.4,55
366,19.4,57.1,55
367,19,56.1,55
368,21.3,77.9,55
37,19.6,55.7,NA
370,19.6,50.6,55
371,21.3,54.2,NA
372,19.6,60.8,55
373,21.4,72.7,55
374,18.4,52,56
375,19.8,52.5,55
376,20.9,64.2,NA
377,21.8,67.1,56
378,20.8,71.9,55
379,22.8,76.4,56
38,20.4,56.8,NA
380,21.2,63.9,56
381,20.4,60.8,54
382,20.4,53.5,55
383,21.9,73.5,56
385,22.6,86.8,55
386,20.5,60,55
387,18.8,49.2,55
388,23.4,75.1,55
389,20.8,71.7,NA
39,18.9,45.6,56
390,20.1,51.4,56
391,20,65.3,55
392,20.4,56.8,55
393,19.6,55.7,55
394,19.9,61.6,55
395,19.6,47.1,55
396,20.4,51.4,55
397,20.9,73.5,56
398,19.7,58.8,57
399,21.1,63.3,55
4,20,59.8,55
40,24.5,98.5,55
400,22.7,94.8,56
401,19.3,58.5,55
402,19.5,51.5,56
403,21.2,66.6,55
404,20.2,51.8,56
405,21.6,86.8,56
406,18.6,48.4,55
407,20.1,57.7,56
408,20,58.7,55
409,20.2,64.4,55
41,20.5,67.3,NA
410,22.6,95,56
411,20.7,64.7,56
412,20.4,58.3,55
413,20.9,65.4,55
414,19.3,50.7,55
415,19.4,51.1,55
416,19.3,53.9,55
417,19,52.7,55
418,19.9,56.5,55
419,19.1,53.3,55
42,21,73.3,56
420,19.5,48.1,56
421,19.9,58.3,55
422,19.5,59.3,55
423,24.7,107.8,56
424,21.1,61.6,56
425,20.2,55.8,56
426,19.9,59.5,56
427,20.5,58.9,57
428,20.4,57.2,55
429,24.9,100.8,56
430,21.4,71.8,56
431,18.4,46.1,55
432,20.2,59.7,55
433,20,64,55
434,22.1,67.2,56
435,20.9,55.9,NA
436,19.9,54.3,56
437,21.4,80.3,56
438,19.9,51.9,55
439,18.9,52.2,55
44,19.9,57.5,55
440,20.5,58.4,56
441,19.9,59.4,55
442,21.4,59.3,NA
443,20.2,54.6,56
444,17.7,34.3,55
445,20.4,62,55
446,21.1,69.8,55
447,21.3,77.6,55
448,19.1,51.2,55
449,21.7,68.4,56
45,20,58.3,55
450,21.5,84.7,56
451,21.3,68.9,NA
452,21.9,71.2,56
453,19.1,52.4,NA
454,24.9,114,56
455,20.2,61,55
456,21.2,72.4,56
457,24.2,97,55
46,20.9,70,55
47,19,46.4,55
48,20.5,51.6,55
49,20.3,54.6,55
5,27.8,148,56
50,21.5,58.7,56
51,20,54.8,NA
52,21,57.4,NA
54,22.9,72.1,55
55,23.9,101.4,55
56,19.8,55.8,NA
57,19.6,57.1,NA
58,22,70.3,NA
59,20.4,56.8,55
6,20.5,68.8,55
60,17.6,36.1,56
61,20.6,62.2,NA
62,20.5,56.4,NA
63,21.3,73.3,NA
64,19.2,52,55
65,21,73,NA
66,21.6,57.4,NA
67,21.4,70.1,56
68,20.5,64,NA
69,21,64.7,56
7,21.8,82.3,55
70,21.1,62.4,57
71,20.5,66,NA
72,19.4,53.4,NA
73,25.4,120.5,56
74,23.5,79.8,56
75,20.4,54.8,56
76,21,65.2,NA
77,19.4,57.5,NA
78,20.1,49.7,NA
79,21,60.5,54
8,22.8,72.9,55
80,20.9,50.9,56
81,20.8,58.5,57
82,19.8,52.7,NA
83,20.8,63.1,NA
84,19.9,41,NA
85,20.3,62.4,NA
87,20.2,58.5,55
88,19.5,47.8,56
89,21.4,66.5,55
90,20.4,54.8,NA
91,20.9,57.6,NA
92,20.1,63,55
93,19.2,51,NA
94,19.9,59.4,56
95,20,59.6,NA
96,21.4,70.1,NA
97,22,74.2,NA
98,21.7,73.3,NA
99,20.2,60.4,NA
501,20,41.8,55
502,19,50,55
503,23.5,85,56
504,21.5,67.6,55
505,21.6,64.6,56
506,20.8,70.9,56
507,23,97.5,56
508,22.5,77.5,57
509,20,61.2,55
510,19,47.6,54
511,26.6,120.7,55
512,21.3,58.9,55
513,20.8,60.2,55
514,20.1,58.5,55
515,24.1,103.5,55
516,21,68.6,55
517,19.3,55.5,55
518,20,55.5,56
519,22.2,77.9,56
520,19.5,48.9,55
521,22.5,77.2,55
522,21.5,76.5,55
523,20,53.5,55
524,20.5,58.3,55
525,21.6,76.6,55
526,19.6,48.4,55
527,20.6,56.8,56
528,27.1,148.8,55
529,20.3,57.6,NA
530,20.1,54.4,56
531,22.4,73.2,56
532,19.4,51.4,55
533,21,57,55
534,20.1,54.1,56
535,21.1,61.8,55
536,25.5,102.3,55
537,21.3,63.3,55
538,21.4,68.8,54
539,22,77.4,55
540,21.8,83.2,55
541,20.5,66,55
542,19.8,51,56
543,21,64.7,57
544,21.5,69.3,55
545,19.6,48.4,55
546,20.6,59.2,55
547,20.9,57,55
548,21.6,76.8,55
549,21.5,63.2,55
550,22.9,86.9,55
551,19.9,48.1,55
552,19.3,46.1,55
553,21.8,74.2,55
554,21,59,55
555,21.2,60.1,NA
556,21.4,70.1,56
557,20,62.3,55
558,19.9,52.1,56
559,20,53.4,56
560,19.3,52.6,56
561,22.9,77.4,56
562,21.9,70.3,56
563,20.6,60.1,55
564,24.2,108.1,55
565,20.7,63.5,56
566,19.8,51.4,55
567,19.1,49.2,55
568,20.9,61.4,55
569,20.5,55.9,NA
570,21.4,58.4,55
571,20.8,62.6,56
572,21.5,70.8,56
573,20.9,67.2,55
574,24.3,95,NA
575,21,68.8,56
576,19.9,55,55
577,20,56.5,56
578,19.8,55.8,55
579,22.2,68.4,56
580,21.7,59.8,55
581,21.4,60.2,56
582,20.4,57.8,55
583,19.8,55.7,56
584,19.9,60,55
585,30.5,188.9,NA
586,26.1,132,55
587,25.3,113.9,57
588,20,54.1,55
589,20.2,59.5,55
590,20,66.8,57
591,21.6,58.4,55
592,18.6,43.8,56
593,25.2,105.5,55
594,18.9,47.2,53
595,20,54.3,56
596,22.2,70.5,56
597,20.8,65.4,55
598,21.1,73.9,56
599,18.9,52.2,55
600,21.3,71.3,55
601,21.4,73.3,55
602,22,74.4,55
603,21.7,72.1,56
604,19.6,60.6,55
605,20.2,60.5,56
606,21.1,61.3,55
607,19.5,53.1,55
608,19.9,61.1,NA
609,23.9,97.8,55
610,19.9,61.7,55
611,21.8,66.9,55
612,19.9,50.8,55
613,19.8,50.6,55
614,18.4,42.6,NA
615,23.6,86.8,56
616,18.6,43.8,NA
617,21.8,63.9,56
618,19.8,46.7,56
619,22.7,88.9,56
620,19.5,56.1,57
621,19.1,59,55
622,19.8,50.6,55
623,23.7,80.4,56
624,19.9,51.4,55
625,21.6,63.5,55
626,23.2,102.5,55
627,20.3,66.7,55
628,24.1,98.9,55
629,24.6,101.2,55
630,22.9,85.5,55
631,21.4,68.3,55
632,19.6,58,NA
633,19.3,54.7,55
634,21.3,66.4,56
636,20.8,67.6,55
637,21.2,61.8,55
638,21.8,71.4,55
639,24.6,97.8,55
640,19.7,55.7,55
641,22.7,82.7,56
642,21.4,69.7,56
643,19.7,52.6,55
644,19.6,50.5,55
645,19.1,54.4,55
646,21.4,73.3,55
647,20.7,71.3,56
648,22.1,69.8,56
649,21.9,73.7,56
650,20.1,61.8,55
651,21.9,78.6,56
652,21.2,64.3,55
653,24.6,106.9,56
654,24,88.8,55
655,20.9,58.9,56
656,21,65.7,56
657,21.5,69.5,55
658,21.1,66.2,56
659,19.9,55.2,55
660,19.3,49.8,55
661,21.9,70.3,56
662,21,68.9,55
663,23.6,86.1,56
664,20.1,65.3,55
665,20.7,64.6,56
666,25.4,113.1,57
667,18,47.7,55
669,24.3,82.5,56
670,19.7,55.2,56
671,21.3,68.4,56
672,20.8,70.6,56
673,20.3,56.5,55
674,20,52.2,55
675,19.7,53.6,55
676,20.3,57,NA
677,21,71.1,55
678,20,57.6,55
679,19,51.6,55
680,21.7,73.8,55
681,20.4,60.2,56
682,22.2,83.3,56
683,21,61.7,57
684,21.5,85.4,56
685,20,59.4,56
686,20.2,47.1,56
687,21.5,68.3,56
688,20.7,69.3,55
689,19.9,56.3,56
690,22.8,78.4,55
691,20.8,65.4,NA
692,20.4,72.7,55
693,21.9,76,57
694,19.5,50.5,56
695,18.2,38.6,55
696,22.5,88.3,55
697,19.6,53.4,55
698,20.5,55.3,55
699,20.4,64.1,55
700,21.6,79.1,55
701,20.6,66.2,55
702,22,71.6,56
703,20,55,56
704,19.4,51.6,55
705,19.1,43.6,55
706,20.6,54.7,55
707,20.5,60.7,55
708,16.9,31,55
709,21.3,66.4,57
710,18.9,55.2,55
711,20.6,64.1,55
712,19.8,50.2,55
713,21.1,69.9,56
714,21.6,67.5,56
715,19,53.9,55
716,21.2,71.9,57
717,20.7,57.5,56
718,21.5,63.8,55
719,21.2,66.2,NA
720,20.4,54.9,55
721,21.6,68,55
722,24.9,108.5,55
723,19.6,60.5,56
724,19.9,65.1,55
725,20.9,59.7,55
726,20.9,64.8,55
727,21.1,61.3,56
728,21,65.4,55
729,20.2,58.9,55
730,29.5,102.6,56
731,20.3,56.3,56
732,20.8,62.1,55
733,19.8,54.5,NA
734,23.6,99.2,56
735,21.9,77.6,55
736,21.2,59,56
737,18.8,48.2,55
738,20.2,66.4,55
739,20.5,60.1,57
741,21.4,57.7,56
742,20.6,62.6,57
743,20.8,64.7,55
744,20.7,51.4,54
745,20.6,64.2,54
746,20.6,64.5,56
747,20.2,60,56
748,21.3,64.4,55
749,21.4,66.5,55
750,20,59,55
751,22.2,71.1,57
752,20.7,56.4,55
753,20.6,64.8,55
754,21.9,73.7,56
755,20.3,65,55
756,20.5,69,55
757,20.3,59.4,NA
758,21.2,74.8,56
759,20.6,59.1,56
760,20.9,71.9,55
761,21.2,61.8,55
762,20,53.5,56
763,20.8,64.1,55
764,23.7,89.1,55
765,19.6,51.3,55
766,19.9,57.2,56
767,20.6,56.7,55
768,19.6,54.5,55
769,22.6,76.8,55
770,21.4,74.9,55
771,21.4,66,55
772,23.4,87,56
773,18.8,50,55
774,20.4,53.1,55
775,21.2,71.2,56
776,19.5,56.8,55
777,21.5,73.1,56
778,21.7,65.2,56
779,20,47.8,56
780,20,52.1,55
781,19.8,55.5,55
782,20.6,63,56
783,22.6,80.6,56
784,21.6,75.1,56
785,23.5,82.1,55
786,20,43.9,55
787,20.7,63.4,56
788,21.1,72.5,56
789,19.6,52.8,55
790,22.9,73,55
791,21.7,61.6,56
792,21.2,57.3,55
793,21.5,60.7,56
794,19.9,56,56
795,20.2,57.9,55
796,21.9,72.9,55
797,22,81.8,56
798,20,52.4,55
799,22.5,85.2,55
800,19.7,47.3,55
801,18.2,50.9,56
802,19,48.4,55
803,21,61.7,55
804,21.6,66.8,55
805,22.5,79.1,56
806,20,55,55
807,19.9,52.7,55
808,18.9,45.4,55
809,19.6,54.7,56
810,19,46.5,55
811,21.2,68.7,56
812,21.1,54,56
813,19.4,49.6,54
814,20.6,54.2,56
815,21,62.8,NA
816,20.1,65.1,55
817,19.9,50.7,57
818,18.4,38.2,55
819,19.8,59.8,55
820,21.4,63.1,55
821,18.3,41.7,55
822,20.6,67.6,55
823,22.6,81.3,55
824,18.8,42,56
825,20.6,59,55
826,21.1,59.7,55
827,15.7,27.4,55
828,19.8,43.4,56
829,20.2,57.5,55
830,20.1,60.1,55
831,19.7,51.4,55
832,21.8,61.9,55
833,20,61.6,55
834,20.9,60.7,55
835,19.6,53,55
836,22.2,84.3,56
837,19.1,44.6,NA
838,21.1,65.3,56
839,20.4,50.1,55
840,20.5,58.9,56
841,21.5,74.2,55
842,20.1,51.5,55
843,19.7,57.7,57
844,20.4,61.3,56
845,19.9,64.9,NA
846,20.5,65.5,56
847,20.6,70.7,56
848,18.8,45.7,56
849,19.5,54.2,55
850,21.5,72.7,55
851,22.1,75.1,55
852,20.1,64.7,56
853,18.9,43.4,56
854,19.9,51.4,55
855,22.5,65.1,55
856,19.9,51.9,55
857,19.7,48.1,55
858,21.4,68.1,55
859,20.7,71.1,55
860,21.7,73.5,55
861,21.1,67.3,55
862,20.3,65.5,55
863,19.5,50.9,55
864,19,51.1,55
865,21,62.1,55
866,19,49,56
867,20.7,66.4,55
868,19.7,50.3,56
869,17.6,32,56
870,23.4,89.5,55
871,21.4,57.4,56
872,21.7,69.1,55
874,20.4,62.3,57
875,19.3,47.7,56
876,22.3,78.4,55
877,23.2,87.9,55
878,23.5,91.4,55
879,23.2,107.6,56
880,23.4,72.9,55
881,21,63.1,55
882,20.2,54.8,55
883,20.9,66.6,55
884,20.6,66.4,56
885,18.2,41.3,57
886,22.2,78.9,57
887,20.9,65.7,56
888,18.9,58.6,55
889,21.7,81.7,55
890,23.4,81,56
892,19.9,62.1,57
893,22,67.8,56
894,23.8,99.2,55
895,20.5,59.8,55
896,23.8,63.7,56
897,21.3,63.6,56
898,19.5,56.7,56
899,20,52.3,55
900,16.8,32.1,56
901,20.3,62.3,55
902,22.7,80.3,56
903,18.3,51,55
904,20.1,54.6,56
905,20.7,65.9,55
906,17.7,41.5,55
907,20.6,68.7,56
908,20.6,54.3,55
909,20.1,70,55
910,20.6,70.7,55
911,19.2,52.7,55
912,20.7,67.6,56
913,20.1,53.8,56
914,20.1,55.6,55
915,19.3,41,56
916,19.3,59.2,55
917,19.6,57.1,55
918,20.7,70.4,55
919,20,58.4,55
920,20.5,59.5,55
921,20.8,65.2,NA
922,20.5,62,55
923,21.5,72.4,55
924,21.1,68.4,56
925,20.6,56.5,55
926,23.5,94,55
927,19.3,48.6,55
928,19.5,56,55
929,19.9,61.3,55
930,20,54.2,55
931,19.6,49.9,55
932,18.7,48,56
933,19.7,54.3,56
934,22.4,75.5,56
935,20.9,60.5,NA
936,22.3,91.8,55
937,19.3,50.1,55
938,19.4,54.8,56
939,19.9,51.1,56
940,19.9,52.5,NA
941,23.4,98.3,56
942,20.7,55.3,56
943,21.8,78.2,57
944,21.7,71.9,56
945,20.5,62,56
946,19.2,45.5,NA
948,21.2,69.9,55
949,22.6,81.4,55
950,19.9,55.3,55
952,20.6,71.3,55
953,18,46.6,56
954,19.9,55.1,55
955,20.2,65.1,56
956,18.4,51.7,56
957,21.8,84,56
958,19.4,55.9,55
959,22.5,73.9,55
960,18.6,51.4,55
961,18.9,54.2,55
962,18.8,42.9,55
963,20.5,54.3,55
964,20.5,65.7,55
965,20.4,54.6,55
966,20.5,101.6,55
968,20,56,55
969,20.5,63.7,55
970,20.6,57.4,55
971,22.2,76.8,55
972,19.9,61.5,55
973,20.8,70.7,55
974,21.1,75.7,56
975,19.6,55.2,55
976,19.7,52.5,55
977,19.6,58.4,55
978,20.5,59.2,55
979,19.4,53.5,55
980,21.3,77.2,NA
981,20.6,70.9,55
982,20.6,65.9,55
983,19.4,51.4,56
984,21.6,71.4,55
985,15.3,22.3,54
986,21.5,62.5,56
987,19.9,57.8,55
103,21.5,67.8,55
24,23.3,87.1,56
53,20,52.8,55
